image,mean_r,mean_g,mean_b,mean_l,mean_a,mean_b_lab,yellow_index,rg_ratio,rb_ratio,bg_ratio,yellow_ratio,label
AJ16_20240812_102451.jpg,154.11980497862928,125.18075989604587,95.35402392663073,135.32212891170343,134.96406709766103,147.6014948774673,147.6014948774673,1.2311780490503275,1.616290503701499,0.7617306624762873,1.0907417358400733,1
AJ16_20240812_102452.jpg,151.4924326752202,121.45368797234752,93.67568887066221,132.11451559357118,135.75743550686428,146.86439353994572,146.86439353994572,1.247326729694574,1.6172011424136337,0.7712873084652885,1.1116446347205746,1
AJ16_20240812_102456.jpg,156.2733990598306,126.35549011358856,98.2200984068336,137.35896544786084,136.02568089114888,147.18625962576138,147.18625962576138,1.2367756848758322,1.5910531551443126,0.7773314601621677,1.0715446063117462,1
AJ17_20240813_150242.jpg,156.48135227477073,141.2220104297788,130.34220463945334,149.09325660852366,131.81449379607983,135.71648983995684,135.71648983995684,1.1080521420882004,1.2005424605719985,0.9229595536830649,0.9102791904668794,1
AJ17_20240813_150244.jpg,149.27388850381226,135.48942964649964,122.67318546390732,142.9764085553025,131.13865234181603,136.82743340924844,136.82743340924844,1.1017382521392176,1.2168420239718103,0.9054077862646666,0.956993072037694,1
AJ17_20240813_150248.jpg,155.76715257531583,145.6847147022074,134.3979453005692,152.1912814105234,129.89107316395945,135.3030126336249,135.3030126336249,1.0692072385528613,1.158999500088761,0.9225260498520012,0.88903260745682,1
AJ18_20240813_150557.jpg,173.5270493585562,132.94398782343987,105.05105457708197,146.81798217003697,139.69878234398783,148.60752337464666,148.60752337464666,1.3052643515083173,1.651835370956644,0.7901903313326794,1.0121888352228428,1
AJ18_20240813_150602.jpg,173.95375558084567,132.01483848376083,108.06261489976363,146.41125361113544,140.7100805392629,146.81180513000086,146.81180513000086,1.3176833472743323,1.6097496264776816,0.8185641502299175,1.002735790495951,1
AJ18_20240813_150607.jpg,173.33563634737502,136.21612557016368,111.14377068240766,149.46985958322153,138.75212413916466,146.74398533226008,146.74398533226008,1.2725045169897076,1.559562301364759,0.8159369487368188,0.981763044132608,1
AJ19_20240813_150932.jpg,165.206860494192,140.42922415948718,118.39028437634971,150.01573049032757,133.91227751130913,142.85988043008797,142.85988043008797,1.1764421565850312,1.395442708572055,0.8430601553337094,0.952299328949371,1
AJ19_20240813_150933.jpg,159.36420263141167,135.11224814085045,110.47496768999343,144.4342676751626,133.52638827093796,144.27890421407233,144.27890421407233,1.1794948544249255,1.442536753086643,0.8176532356798132,0.9989243241059386,1
AJ19_20240813_150938.jpg,152.2971399346945,129.26137928321336,107.52352570911523,138.5007868130139,133.62368700578307,142.80860773437192,142.80860773437192,1.1782106890782809,1.4164075955832989,0.8318302456118741,1.031103216013283,1
